question,answer,image_id
what are the objects on the bed,clothes,image1007
what color are the towels reflected in the mirror,blue,image170
what is on the left side of the chair,paper,image596
what is the object on the floor close to the wall,ironing_board,image492
what is in front of the curtain behind the armchair,guitar,image1294
what is in the crib,sheets,image401
what is on the right side of the bottle of liquid,sink,image705
what is the object close to the counter,stove,image776
how many plates are in the dish rack,2,image130
what is in front of the glass,towel,image679
how many black speakers are there,2,image29
what is the largest object,bed,image1063
what is on the flush tank,ornamental_item,image678
what is on the right side of the kitchen counter close to the wall,scale,image263
what is on the left side of the towel,bathtub,image508
what is above the tap,blinds,image834
what color is the door frame,brown,image548
what color is the window shutter,white,image280
what are the objects close to the counter,"sink, faucet",image861
what color is the lamp shades close to the sofa,white,image1229
what is beneath the shelf stand,carton,image494
what is above the oven on the wall,microwave,image136
what are the objects on the desk,"lamp, books",image932
what is on the left side of the sink,kitchen_utensils,image575
what is the object close to the wall above the counter,mirror,image671
what color is the table below the black chandelier,white,image249
what is the largest object,table,image565
what is on the left side on the table,monitor,image617
what are the object close to the wall right of the door,books,image922
what is behind the television,bookshelf,image579
how many frames are in this picture on the windowsill but not on the side table,1,image50
what is the object on the floor in front of the bed,toy,image1124
what is the largest black object in this picture,television,image177
what is the black object on the right side of the flipped table,chair,image28
what is the object that placed below the shelves and to the right of the pen holder,flatbed_scanner,image11
what is the white object on the ground,ball,image425
what is the object close to the wall above the stool,window,image1162
what is the largest object,piano,image1422
what is on the hanger,clothes,image678
how many stairs are on the right side of the stair railing,2,image601
what is on the left side of the tap,bottle_of_liquid,image724
what is in the round plastic bin close to the toy shelf,toy,image443
what is in front of the pillar,"bin, books",image109
what is the object close to the wall in front of the pillar,shelf_frame,image96
how many knobs does the oven have,4,image145
how many mirrors are on the wall,1,image1405
what are the golden objects below the mirror,"faucet, faucet_handle",image510
what is on the right side of the iron box,ironing_board,image586
what is on the left side of the tap,bottle_of_hand_wash_liquid,image651
what is on the right side of the tap,bottle_of_hand_wash_liquid,image834
how many chairs are there,4,image879
what are the cylindrical items on the wall,"light_bulb, light_bulb",image37
what is at the centre of the table,container,image748
what is dominant color,brown,image383
what is the object on the floor below the picture,sofa,image43
what is the black object on the counter close to the printer,tape_dispenser,image108
what is on the left side of the toilet,tissue_roll,image730
how many columns of the rack are visible,4,image85
what is the largest object,bed,image1138
what is the object on the stool,lamp,image592
what color is the water flask on the desk,blue,image334
what is above the laundry basket,shirts_in_hanger,image529
what is suspended from the ceiling,light,image875
what is between two dark brown and beige couches,bookshelf,image51
what are the objects kept on the shelves,books,image84
what is the largest object on the round table,tissue_roll,image40
what is on the right side of the xbox,guitar,image431
what are the objects on the counter,"paper, pen, clock, box",image453
what is on the left side of the microwave,tissue_roll,image410
what is on the right side of the cup,paper,image904
how many monitors are there on the shelf,3,image635
what is on the table,"paper, book",image378
what is beneath the yellow paper on the bookshelf,box,image69
what is on the table,vase,image434
what is on the chair,pillow,image773
what is the object close to the floor left of the wall,toilet,image693
what is the object behind the screen,bathtub,image709
what is the sign board close to,wall,image36
what is beneath the audio system,books,image646
how many drawers are there,8,image892
what is the green board in the stand,cutting_board,image868
what is on the left side of the carton,stand,image622
what is on the right side of the table,jacket,image120
what is the object on the floor right of the cabinet,room_divider,image633
what is the object on the floor in front of the wall,stool,image1163
what is on the left side of the fan,air_conditioner,image584
what is seen in the mirror reflection,"towel, blinds, window",image734
how many pictures are there close to the wall,2,image913
what is the object on the floor,plant,image457
what is the object on the floor close to the wall divider,stool,image836
what is on the left side of the bed,night_stand,image537
what is the object close to the floor,floor_mat,image673
how many stacks of paper are there on the table,2,image25
what is the object on the towel rod,towel,image690
what is in front of the purple chair,carton,image396
what is around the table,chair,image551
what color is the chair in front of the wall on the right side of the door behind the black chair,pink,image19
what is the largest object,cabinet,image578
what is the object kept close to the wall,clock,image88
what is on the hanger,towel,image661
what is in front of the flower vase,newspapers,image816
what is on the right side of the table,door,image711
what is on the stove,utensil,image785
what is on the left side of the window,table,image544
what is the object on the shelf,music_stereo,image1001
what is hing on the rack,hat,image80
what is the red object on the white wall behind the garbage bin,fire_extinguisher,image8
what is the dining table made of,glass,image1440
how many lights are visible,4,image109
what is on the right side of the bottle of liquid,towel,image693
what is seen in the mirror reflection,mirror,image721
how many monitors are switched on,1,image7
what is on the right most side on the table,iron_box,image523
what is the object on the floor in front of the wall,refridgerator,image565
what is on the right side of the tap,tissue_roll,image847
what is the largest object,bed,image1147
what is beneath the television,stand,image431
what is the gray object in front of the cabinet on the floor,step_stool,image884
what is the largest object,chair,image536
what is in front of the table,chair,image482
what is the object on the floor right of the bathtub,cabinet,image737
what is placed on the table to the right of the wall,computer,image20
what is the object on the floor below the table,chair,image864
how many chairs are there,2,image432
what is the object close to the wall,ladder,image17
how many frames are there on the wall,3,image1161
what are the object on the side table,"lamp, flower_pot",image487
what is the object behind the bed,wall,image65
what kinds of tables are in the picture,"foosball_table, toy_table",image422
what is the white object that is placed close to the wall and to the left of the shelves,projector_screen,image7
what is the brown object on the bed,blanket,image82
what is in front of the wall,chair,image391
what is the object close to the ceiling,spot_light,image94
what is the colour of the sofa,brown,image486
what is on the right side of the sink,carton,image885
how many ornamental plants are there,3,image789
what is the colour of the basket,blue,image496
what is the object close to the wall behind the table,switchbox,image29
what is in front of the monitor,keyboard,image421
how many chairs are in front of the desk,2,image383
what is on the right side of the toothpaste,razor,image512
what is the small object on the right side of the printer,stapler,image475
what color are the walls,purple,image93
what is on the right side of the toilet,bottle_of_liquid,image503
how many chairs are there,3,image467
what is the object right of the stove close to the wall,refridgerator,image831
what is the object close to the wall above the sink,mirror,image664
what is in front of the wall,stand,image472
what is directly opposite to the tables and chairs,bookshelf,image117
what is on the left most side on the table,printer,image394
what is the on the towel rod,towel,image497
what is hanging on the refridgerator handle,kichen_towel,image570
what is the object left of the shelf,soft_toy,image1001
what is the largest glassy object in this picture,window,image580
what is the object close to the wall above the stove burner,microwave,image129
what is on the left side of the bathtub,candle,image736
how many chairs surround the table,6,image54
what color is the chair in front of the white wall,red,image3
what is on the table,bag,image493
how many chairs are there,6,image550
how many frames are on the wall of the kitchen,2,image207
what is in front of the window,ornamental_plant,image817
what color is the kitchen counter,red,image432
what is on the table,stove,image806
what are the objects on the chair,"clothes, jacket",image149
what is the object on the chair,jacket,image1053
what is in front of the monitor,paper,image635
what is beneath the desk,garbage_bin,image370
what is the black and white round object on the top right of the brown cork board,clock,image22
what is above the sink,mirror,image660
what is on the wash basin table,electric_toothbrush,image648
what is beneath the kitchen utensils stand,dishwasher,image868
how many drawers are visible,3,image369
what is the main color of the blanket on the bed,blue,image920
what is the largest object,bed,image1124
what is the object close to the wall,wall_decoration,image572
what is on the right side of the laptop,telephone,image623
what is on the left side of the door,curtain,image718
how many cobalt garbage bin are there,1,image9
what is on the right side of the tap,bottle_of_hand_wash_liquid,image665
what is the gray object on the kitchen table close to the paper,spice_stand,image789
how many sofas are there,2,image598
what is in front of the pillow,comforter,image64
what is the object on the floor in front of the room divider,toilet,image728
what is the displaying object close to the wall,projector,image20
what is the object on the floor in front of the wall,cabinet,image1043
what is the object on the floor,garbage_bin,image699
what is on the left side of the chair,toy,image437
what is the object behind the flower pot,door,image681
what is the colour of the bag,gray,image811
how many sculptures are on the top of the round table,2,image548
what is the object close to the wall above the chair,window,image1093
how many tables are there,3,image118
what is on the ride side of the table,ladder,image17
how many chairs are there,3,image878
what is on predominantly lying down on the bed,clothes,image70
what is in front of the desk,chair,image369
how many sofas are there,2,image51
what is in front of the kitchen utensils,hot_water_heater,image575
what are the colours of the cables running,"black, white",image42
what is the object on the towel rod,towel,image705
what is the object on the shelf close to the wall,books,image98
what is the object close to the counter,sink,image561
what is on the right side of the sink,kitchen_utensils,image770
what is on the chair,clothes,image553
what colors are the backpacks in the store,"pink, purple, blue, black",image91
what is in front of the blue bag on the bed,hair_brush,image60
what is the object left of the screen,door,image594
what color is the bedside lamp behind the bottle of water,black,image73
what are the white objects on the kitchen table,"envelope, microwave, paper_towel",image570
what is the object on the floor in front of the wall,toilet,image723
what is on the right side of the tap,bottle_of_hand_wash_liquid,image679
what is the object close to the counter,stove,image785
what is on the bathtub,towel,image744
what is on the right side of the paper behind the chair,cell_phone_charger,image638
what is on the right side of the table,toilet,image666
what is behind the chair,window,image863
how many drawers are on the left side of the desk,10,image381
what is the object close to the counter,stove,image854
how many frames are there on the wall and above the dresser,3,image921
what is the object on the floor left of the stool,bed,image962
what is between the display cabinet and the bookshelf,door_way,image1421
what is the object above the stove close to the wall,microwave,image144
how many bottle of liquid is visible,1,image42
what is on the right side of the bowl,decorative_item,image849
what is in front of the paper,envelope,image570
what is the object in front of the counter,toilet,image709
what is on the table,"paper, pen",image645
what is on the left side of the fruits,glass,image753
what is the object on the table in the corner,plant,image122
how many toy boxes are under the table close to the wall,6,image292
what is on the top most shelf,"basket, hair_dryer",image542
what color is the wall behind the projector screen,black,image7
how many tooth brushes are there,3,image49
how many chairs are there,7,image6
what is the object on the floor close to the room divider,floor_mat,image683
what are the objects on the counter,"monitor, paper, mouse, keyboard, box",image112
what is beneath the blinds,"basket, chair",image446
what is beneath the monitor,paper,image528
what color are the walls,white,image1407
what is the object close to the wall behind the sofa,mirror,image1086
what is on the right side of the chair,monitor,image454
what is beneath the black table,"stool, stool",image52
how many lamps are on in this picture,1,image187
what is the object on top of the table,monitor,image485
what is the object on the stool,lamp,image1022
what is on the left side of the toilet,garbage_bin,image678
how many pieces does the curtain have,2,image515
how many shelves does the bookcase have close to the step stool,7,image104
what are the objects on the floor near each other,"pool_table, sofa, coffee_table",image1206
what are the objects in the shelves,books,image979
what is the object on the floor in front of the wall,cabinet,image1055
what is the big white object,mattress,image60
how many lamps are reflected in the mirror,1,image1016
what is the object close to the sink,faucet,image883
what is the object in front of the wall left of the shelf,box,image629
what is on the table,"pen, paper",image441
what are the objects that are placed on the shelves,"monitor, mouse, keyboard",image6
what is on the left most side on the shelf,bottle_of_liquid,image662
how many cartons are there,4,image106
what is beneath the drawer,towel,image498
what are the objects on the chair,clothes,image148
what is the object close to the sink,faucet,image721
what are the colours visible,"red, white, pink, gray",image74
what color is the door of the toyhouse behind the armchair,"blue, red",image444
what is on the right side of the paper,book,image476
what is in the stand on the left side of the bathtub,towel,image669
what is the object close to the wall above the bed,picture,image1129
what are the objects on the shelves,books,image106
how many tables are there,2,image1419
what is the object close to the door,door_knob,image650
how many chairs are there,4,image880
what is the colour of the table,"black, white",image449
what is the edible object kept on the trays,bread,image123
what is on the left side of the glass,bathtub,image696
how many staplers are there on the light brown table under the bookshelf,2,image24
what is in front of the tissue box,toilet,image657
what are stacked on the red paper rack,paper,image9
what are the objects on the shelf,books,image90
what is the most frequent object in the room,book,image374
what is the object on the chair,soft_toy,image1001
what is the colour of the basket,blue,image409
what is above the flower,light,image824
what is on the left side of the table,refridgerator,image559
what is the red object hanged on the white wall nest to the umbrella,bag,image150
what is the object on the floor in front of the wall,refridgerator,image571
what is the object in front of the sofa and behind the window,plant,image14
what is between the pictures on the right side of the dvd player,television,image192
what is the object close to the wall above the cot,window,image70
what is in front of the table,chair,image30
what is the object that is placed right of the wall and left of the tall cabinet,garbage_bin,image12
what color is the paper under the black frame on the floor,pink,image377
what is below the bedside lamp between the beds,night_stand,image1117
what are the objects on the shelves,books,image644
what is around the table,chair,image565
what is the largest object,table,image1377
what is the object close to the towel rod,towel,image690
what is behind the cup,ornamental_plant,image803
what is on the right side of the tissue roll,container,image841
what is on the right side of the table,refridgerator,image773
what is in front of the cup,soap,image665
what is the object close to the wall above the air vent,window,image142
what is on the right side of the sink,microwave,image408
how many lamps are there,1,image50
what is the object close to the counter,sink,image127
what is on the right side of the tap,soap,image700
what is the object on the counter in the corner,microwave,image857
what is the largest object,table,image748
what is the colour of the table,black,image901
what is the largest object,table,image550
what is the object on the floor in front of the table,chair,image552
what is the object that is built on the floor close around the pillar,table,image107
what is the object on the hanger,bag,image115
what is hanging diagonally behind the water dispenser,telephone,image21
what is the object behind the chair close to the wall,green_screen,image8
what is in the red colour vase,ornamental_plant,image814
what is on the refrigerator,"paper, picture",image871
what is the object close to the wall,picture,image516
what is on the left side of the bottle of liquid,sponge,image808
what is the object on the table,cup,image118
what is the object on the floor right of the bed,stool,image1147
what is the object below the counter,cabinet,image819
how many drawers are there,2,image779
what is the object on the table,bowl,image591
what is on the top of the counter between the paper cups and the paper boxes,napkin_dispenser,image123
what is the yellow cloth hung close to the refrigerator handle,tablecloth,image130
what is on the left side of the tap,"soap, soap_box",image660
what are the objects that are stacked on the shelf frames,books,image108
what is around the table,chair,image748
what is on the dark brown armchair on the right side of the door way,"pillow, backpack",image172
what is on the right side of the tap,cup,image575
what is beneath the table,basket,image519
what is the object on the floor close to the lamp,excercise_ball,image55
how many brown objects are there,1,image66
what are the objects on the shelf,books,image990
what is the largest object,bed,image996
what is the object on the stool,television,image602
what is the object on the floor right of the table,garbage_bin,image613
what is behind the tissue box,papers,image376
how many chairs are there,8,image6
what is in the corner of the wall on the left side of the bookshelf,hockey_stick,image80
what is the colour of the curtain,"blue, green",image501
what is on the bed,"sheets, comforter, pillow",image516
what color is the blind above the left bed,purple,image1042
what is the object close to the counter,stove,image860
what is on the stand,towel,image736
what is the blue object that is in front of the counter and to the right of the photocopying machine,garbage_bin,image10
how many beds are there,2,image1020
how many machines are there,3,image109
how many chairs are there,3,image566
how many pillows are there on the gray armchair,1,image173
what is the largest object,sofa,image1278
what is on the left side of the crib,carton,image398
what is the object on the floor below the counter,chair,image670
how many frames are on the wall,1,image167
how many rolling chairs are in this picture,1,image290
what is the object on the floor left of the window,stool,image1273
what is the largest object,bed,image980
what is the frame on the floor close to the wall,photo,image148
what is the object in front of the whiteboard,chair,image33
how many pillows are there in the sofa,2,image1295
what is on the hanger,towel,image654
what is object on the table top,tablecloth,image149
what is the purple box on the table,napkin_dispenser,image419
what is in front of the switch board,coffee_machine,image780
how many chairs are there,5,image822
what is in front of the bath tub,towel,image511
what is the largest object on the table,book,image53
what is in between the air conditioner and the rack,hockey_stick,image80
how many doors are open,1,image21
what kind of containers are on the dark brown wall shelves,vase,image234
what is the object on the hangers,clothes,image119
what is the object on the floor behind the table,sofa,image601
what is above the printer,microwave,image828
what is the object on the floor in front of the wall,cabinet,image592
what is the colour of the towel,pink,image705
how many table fans are in this picture,1,image13
how many rolls are there in the shelf,2,image449
what is on the right side of the tissue roll,container,image813
what is the colour of the towel,white,image729
what is the object on the floor,cabinet,image1153
what is there next to the scissor on the table,tape,image3
what is the object on the sofa,pillow,image1083
what is the largest object on the study table,monitor,image782
what are the objects on the table,"lamp, books, perfume, cream",image66
what is the smallest black object on the counter,key,image786
what is the object on the floor in front of the window,piano,image1411
what is the object behind the screen,bathtub,image692
what is beneath the door,drawer,image715
what color is the ladder between the projector screen and armchairs,red,image7
how many garbage bins are there on the floor,2,image571
what is on the left side of the tap,fruit,image891
what is on the table,"monitor, speaker",image823
what is on the stove,kitchen_utensil,image572
what is the object hung on the hanger,"shirts_in_hanger, bag",image90
how many swivel chairs are there in front of the brown table,1,image30
how many drawers does the filing cabinet have,4,image552
how many ladders are there,1,image17
what is the object on the table in the corner,lamp,image1180
what is on the left side of the hanger,blinds,image661
what is on the left side of the tissue roll,towel,image705
what is on the refrigerator,"paper, magnet",image768
what is on the right side of the picture,blinds,image740
what is the object close to the bed,ladder,image1039
what is the colour of the towel on the right side of the sink,yellow,image790
what are the objects kept the shelf close to the wall,"books, paper_holder",image24
what is the object close to the counter,sink,image130
what is the colour of the bag,black,image491
what is in front of the table,bag,image387
how many sticky notes are there on the poster board,2,image23
what is the round object on the wall above the television,clock,image163
how many brown coloured books are there on the table,3,image384
what is hanging on the wall between the spice rack and the cabinet,kichen_towel,image133
what is object that is on the counter close to the sink,faucet,image133
how many blue chairs are there around the round table,4,image322
what color is the window shutter,white,image360
what is on the table behind the chair,"monitor, mouse, paper",image474
what is the largest object,refridgerator,image125
what is the object close to the counter,sink,image651
how many chairs are there,2,image1119
what is the object close to the towel rod,towel,image705
what is the object above the sink close to the wall,mirror,image657
how many chairs are there,4,image900
what is on the right side of the curtains,stand,image737
what is the object on the right of the table and in front of the door,chair,image3
how many printers are there,1,image25
what is the largest white object on the left side of the picture,printer,image10
what are the objects on the bed,"blanket, pillow",image921
what is the object above the shelves close to the wall,blackboard,image121
what is on the right side of the cable,paper,image860
how many wall decorations are there close to the wall,3,image73
what is the largest object,sofa,image591
where are the flowers kept,vase,image70
which electric home appliance is on the right side of the table,clothing_iron,image523
what is above the tap,mirror,image680
what are the objects on top of the table,"laptop, mouse, books, pen, paper",image83
what are the objects on the floor,"basket, table, chair, machine",image492
how many chairs are there,2,image629
what is the close to the window to the right of the chairs,room_divider,image41
what are the objects on the desk,"lamp, books",image941
what color is the curtain,white,image1401
what color is the flower pot on the table,black,image1207
what is the object on the floor in front of the wall,speaker,image1063
how many shelves does the cabinet with light green dishes have,4,image223
what is on the left side of the container,stove,image776
how many chairs are there,4,image565
how many bottles are there,14,image4
what is on the right side of the table,chair,image637
what is the black object below the bedside lamp on the left side of the bed,night_stand,image972
how many plug sockets are visible,4,image39
how many pillows are there on the bed,2,image538
what is the object close to the wall above the counter,mirror,image682
what is on the window,curtain,image531
what are objects in front of the window,"plant, picture, table, light",image50
what is the object close to the door,door_knob,image1026
what is the object close to the wall above the counter,mirror,image743
how many white printers are there,2,image16
what is behind the paper holder,blinds,image556
what is the largest object,monitor,image62
what is the colour of the chairs,red,image403
what is on the right side of the side table and below the colorful painting,sofa,image50
what is the colour of the equipment on the pillar,red,image110
what colors do the stools around the table have,"blue, white",image239
what is the object on top of the bed,"pillow, blanket, bed_sheets, clothes",image79
what is the object on the floor in front of the door,flower_pot,image681
what are the objects placed on the counter below the shelves,"tape_dispenser, hole_puncher, paper_holder",image12
what are the numbers drawn on the wall,"4, 6",image88
what the largest light green object in this picture,sofa,image14
what is the object on the sink,hand_sanitizer,image48
what is the object on the floor in front of the window,bed,image932
what is the colour of the floor,brown,image53
what are the objects on the table,books,image564
what is the object on the counter in the corner,television,image877
what is on the left side of the bowl,glass,image561
what colors are the walls in this picture,"yellow, white",image339
what is in front of the mirror,"bottle_of_liquid, plate",image693
what is the object close to the counter,stove,image826
what is on the cpu,cd_disc,image553
how many chairs are visible,4,image381
what is the object on the counter in the corner,hot_water_heater,image800
what is in front of the cable,paper,image839
what is the colour of the chair,gray,image637
what is the largest blue object in this picture,table,image276
what is the object close to the wall,faucet,image687
what is the object close to the wall,picture,image1078
what is the large object on the white wall,whiteboard,image41
how many chairs are there,1,image1032
what is object close to the counter in the middle,stove,image907
how many chairs are there,2,image455
what is on the left side of the bottle of liquid,tissue_box,image659
what is the object on the counter left of the tissue,toaster,image874
what is the object close to the ceiling in front of the window,projector_screen,image27
what is in front of the fruit,bottle,image844
what is on the left side of the desk close to a bunch of paper,printer,image389
how many chairs are there around the brown table,7,image1431
how manu blue chair are there,8,image290
what is on the bed table,tissue_box,image514
what is beneath the table,garbage_bin,image725
what is the object on the floor below the picture,toilet,image732
what is the object on the floor in front of the wall,bed,image1040
what is the object left of the toilet,garbage_bin,image501
what is on the stool,"flower, vase",image619
what is on the right side of the cream tube,tissue_box,image670
what is on the right side of the paper,container,image627
what is on the left side of the tap,decorative_plate,image727
what is on the left side of the sofa,foosball_table,image422
what is the blue object on the ground close to the pillar,garbage_bin,image110
what color is the towels reflected in the mirror,blue,image170
how many knobs are there,2,image717
what is on the left most side on the table,wooden_plank,image451
how many pink bags are there,1,image69
what is surrounding the pillar,table,image107
what is the colour of the hair brush,pink,image44
what is in the hanger,towel,image716
what color is the board,black,image323
what is in front of the door,ornamental_item,image681
what is behind the monitor,ornamental_plant,image608
what is the largest object,refridgerator,image831
what is the object close to the wall above the table,whiteboard,image986
how many doors are open,1,image1037
what is on the left side of the wall,blinds,image869
what is in between the sinks,ornamental_item,image661
what is the colour of the wall decoration above the books rack,purple,image84
what is behind the curtains,bathtub,image709
what is the object on the stool,television,image1138
what is on the left side of the table,door,image579
what color is the door,white,image1397
what is on the right side of the sofa,window,image372
how many towels are there,3,image675
how many shelves are there in the rack,7,image106
what is the object on the hangers,jacket,image94
what color is the bath sponge below the faucet,green,image718
what is the object close to the wall left of the shelf,window,image1141
what is the climbing object close to the wall,ladder,image17
what is the object close to the floor,floor_mat,image805
how many drawers are there,5,image670
what is the object left of the screen,window,image911
what is the object left and right of the chair,table,image117
what is the object on the counter in the corner,electric_mixer,image568
how many kitchen towels are on the cabinet,2,image206
what is the red object that is standing on the floor in front of the projector screen,ladder,image7
what is on the left side of the cpu,plastic_box,image421
what color is the pipe behind the room divider,red,image245
what is the object in front of the bed,lamp,image1093
what is the object hung close to the door knob,bag,image150
what is the smallest black object on the table below the bookshelf,tape_dispenser,image16
how many frames are there on the wall,2,image1408
what is behind the tape,book,image3
how many closed doors are there,2,image222
what is on the left side of the bed,night_stand,image70
what is in front of the stand with the bags,books,image91
what is at the right most edge of the table,lamp,image66
what is on the left side of the printer,pen_cup,image11
what are the objects on the bed,"pillow, blanket",image1020
what is on the right side of the sink,"plastic_box, cooking_pot_cover",image891
what is on the left side of the table,sofa,image380
what is the object close to the wall left side of the printer,whiteboard,image24
what color is the whole circle on the whiteboard,green,image42
what color is the telephone,black,image856
how many larg frames are on the wall,2,image249
how many drawers does the dresser have,6,image964
how many chairs are there,1,image988
what is behind the tap,ornamental_plant,image883
how many black cameras are there,5,image7
what is the object on the table,flower_pot,image1424
how many chairs are there around the table,9,image411
what are the objects on the bed,"pillow, blanket",image921
what is the object below the counter in front of the cabinet,dishwasher,image896
what is on the microwave,"coffee_machine, basket",image570
what is the object on the floor below the table,floor_mat,image466
what is in front of the whiteboard,garbage_bin,image28
what is the object close to the whiteboard in the corner of the room,plant,image120
what is the object on the floor in front of the wall,fan,image1336
what is the black and white toy behind the foosball table on the floor,ball,image422
how many drawer knobs are in this picture,2,image78
what is on the right side of the desk on the floor,garbage_bin,image294
what is the object kept on the stove burner,tea_kettle,image130
what is the blue object on the bed,blanket,image1172
how many pens are on the counter,2,image453
what is the object on the table in the corner,plant,image1435
what is in the basket,"bottle_of_liquid, cream",image741
what is the colour of the biggest vessel,white,image859
what are the objects on the shelves,"soap, bottle_of_liquid, hand_sanitizer, toothpaste, face_wash_cream",image658
what is the object on the floor left of the bed,lamp,image540
what is the object close to the counter,sink,image679
what is the largest object,bookshelf,image51
how many chairs are there,1,image876
what is the object on the floor right of the chair,cabinet,image967
what are the objects in the shelves,books,image113
what are the chairs surrounding,table,image597
what is on the right side of the white object,carton,image490
what is the object that is largest,cabinet,image82
how many drawers are there,3,image562
what is on the stool,cell_phone,image537
what is beneath the curtain,bottle_of_liquid,image718
what is hung on the wall,"picture, picture",image54
what is the object stuck close to the wall,wall_decoration,image117
what are the objects that are fitted close to the ceiling,"air_vent, light, fire_alarm",image12
what is predominantly filled on the top most shelf of the left side stand,books,image63
what is the object close to the refrigerator handle,towel,image872
what is behind the tap,window,image899
what is the colour of the toy,"yellow, blue, red",image440
what is in front of red bag on the bathroom basin,hair_brush,image44
what is on the left side of the monitor,carton,image818
what is in front of the plant,sofa,image14
what is the tallest object,refridgerator,image830
how many ornamental plants are in this picture,3,image14
how many papers are on the wall on the left side of the modem,1,image20
what is the object on the floor left side of the sink,toilet,image44
what is on the floor on the left side of the shelf,toy_truck,image442
what is on the left side of the cable,machine,image874
what are the objects in the shelves,books,image1251
what is the object close to the wall,dishwasher,image876
what are the objects on the bed,"pillow, blanket, bed_sheets",image1058
what is the largest object,pool_table,image426
what is on the wall,picture,image487
what is on the wall,picture,image627
what is the object on the floor behind the toilet,bathtub,image696
what is the object on the floor left of the bed,cabinet,image538
what is between the dresser and the desk on the floor,cables,image63
what is the object above the toilet close to the wall,mirror,image659
what is the object close to the wall above the bed,window,image1105
what is the colour of the sheets,purple,image520
what is the largest object,table,image1357
how many bottles of water are on the night stand,1,image73
how many white pillows are there on the bed,1,image64
what are the objects close to the counter,"sink, faucet",image140
how many chairs are there,2,image31
what is on the right side of the blinds,table,image441
how many drawers are there,5,image451
what is on the table,decorative_item,image626
what is the object on which the fax machine is placed,counter,image10
how many plastic boxes are there,2,image447
what is on the right most side on the table,book,image448
what is on left most side on the table,towel,image448
what is the object on the floor left of the counter,ladder,image884
what is the red object below the kitchen counter on the left side of the stool,fire_extinguisher,image569
what is the object on the bed,pillow,image988
what is behind the mat,door,image730
what is the object close to the wall above the sink,mirror,image47
what is behind the chair,table,image603
what is the object on the stool,lamp,image914
what is above the table,light,image836
how many tables are there,2,image85
how many drawers are open,1,image448
what is the object on the floor in front of the cabinet,bag,image864
what is the object close to the pillar on the floor,table,image116
what is the liquid bottle kept on the table,hand_sanitizer,image21
what is on the right side of the chair,door,image616
what color is the piano,brown,image1387
what is the colour of the curtains,red,image742
what is the object closest to the door,"shoe, wall_decoration",image53
what is the black object,garbage_bin,image566
what is in the red mug on the desk,"pen, pencil",image361
what is on the chair,pillow,image590
